index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
177,female,US,47.0,p,0.0851063829787234,0.04070215806788415,80,95,1988,1990
178,,Austrailia,3654.0,p,0.019157088122605363,0.00226767183457714,49,95,1992,1993
179,male,Austrailia,1582.0,p,0.012642225031605562,0.00280896154602356,49,95,1992,1993
180,female,Austrailia,2072.0,p,0.02413127413127413,0.003371249935762704,49,95,1992,1993
181,,Austrailia,485.0,p,0.0,0.0,49,54,1992,1993
182,male,Austrailia,215.0,p,0.0,0.0,49,54,1992,1993
183,female,Austrailia,270.0,p,0.0,0.0,49,54,1992,1993
184,,Austrailia,1172.0,p,0.0008532423208191126,0.0008528782319095041,55,64,1992,1993
185,male,Austrailia,513.0,p,0.0,0.0,55,64,1992,1993
186,female,Austrailia,659.0,p,0.0015174506828528073,0.0015162989174626845,55,64,1992,1993
187,,Austrailia,1209.0,p,0.0066170388751033895,0.00233172347956087,65,74,1992,1993
188,male,Austrailia,513.0,p,0.005847953216374269,0.003366430615184081,65,74,1992,1993
189,female,Austrailia,659.0,p,0.009104704097116844,0.003700020190327717,65,74,1992,1993
190,,Austrailia,653.0,p,0.0995405819295559,0.011715897661176837,75,84,1992,1993
191,male,Austrailia,279.0,p,0.07885304659498207,0.016135097614995025,75,84,1992,1993
192,female,Austrailia,374.0,p,0.106951871657754,0.015980700995133948,75,84,1992,1993
193,,Austrailia,135.0,p,0.1851851851851852,0.033432256809201484,85,95,1992,1993
194,male,Austrailia,48.0,p,0.125,0.047735163489123336,85,95,1992,1993
195,female,Austrailia,87.0,p,0.2183908045977012,0.044294762548763904,85,95,1992,1993
196,,Austrailia,3654.0,p,0.019157088122605363,0.00226767183457714,49,95,1992,1993
197,male,Austrailia,1582.0,p,0.012642225031605562,0.00280896154602356,49,95,1992,1993
198,female,Austrailia,2072.0,p,0.02413127413127413,0.003371249935762704,49,95,1992,1993
199,,Austrailia,485.0,p,0.0,0.0,49,54,1992,1993
200,male,Austrailia,215.0,p,0.0,0.0,49,54,1992,1993
201,female,Austrailia,270.0,p,0.0,0.0,49,54,1992,1993
202,,Austrailia,1172.0,p,0.0008532423208191126,0.0008528782319095041,55,64,1992,1993
203,male,Austrailia,513.0,p,0.0,0.0,55,64,1992,1993
204,female,Austrailia,659.0,p,0.0015174506828528073,0.0015162989174626845,55,64,1992,1993
205,,Austrailia,1209.0,p,0.0066170388751033895,0.00233172347956087,65,74,1992,1993
206,male,Austrailia,513.0,p,0.005847953216374269,0.003366430615184081,65,74,1992,1993
207,female,Austrailia,659.0,p,0.009104704097116844,0.003700020190327717,65,74,1992,1993
208,,Austrailia,653.0,p,0.0995405819295559,0.011715897661176837,75,84,1992,1993
209,male,Austrailia,279.0,p,0.07885304659498207,0.016135097614995025,75,84,1992,1993
210,female,Austrailia,374.0,p,0.106951871657754,0.015980700995133948,75,84,1992,1993
211,,Austrailia,135.0,p,0.1851851851851852,0.033432256809201484,85,95,1992,1993
212,male,Austrailia,48.0,p,0.125,0.047735163489123336,85,95,1992,1993
213,female,Austrailia,87.0,p,0.2183908045977012,0.044294762548763904,85,95,1992,1993
244,,Netherland,9774.0,p,0.0020462451401677922,0.00045708594932462665,55,98,1990,1993
245,male,Netherland,3787.0,p,0.002904673884341167,0.0008745192581754108,55,98,1990,1993
246,female,Netherland,5987.0,p,0.001002171371304493,0.0004089296861306797,55,98,1990,1993
247,,Netherland,3220.0,p,0.008074534161490683,0.0015771402750136285,55,64,1990,1993
248,male,Netherland,1418.0,p,0.00916784203102962,0.0025310195049627546,55,64,1990,1993
249,female,Netherland,1802.0,p,0.006104328523862375,0.0018348981193210946,55,64,1990,1993
250,,Netherland,3247.0,p,0.008007391438250694,0.0015640787061843482,65,74,1990,1993
251,male,Netherland,1382.0,p,0.008683068017366137,0.0024956796746527037,65,74,1990,1993
252,female,Netherland,1865.0,p,0.005898123324396783,0.0017730988709728046,65,74,1990,1993
253,,Netherland,2301.0,p,0.036940460669274235,0.0039320534512750005,75,84,1990,1993
254,male,Netherland,796.0,p,0.035175879396984924,0.006529651820466749,75,84,1990,1993
255,female,Netherland,1505.0,p,0.037873754152823916,0.004920587498294184,75,84,1990,1993
256,,Netherland,1006.0,p,0.110337972166998,0.009878159537584566,85,98,1990,1993
257,male,Netherland,191.0,p,0.09424083769633508,0.021140207863603842,85,98,1990,1993
258,female,Netherland,815.0,p,0.11533742331288345,0.01118909976238258,85,98,1990,1993
259,,Netherland,9774.0,p,0.011049723756906077,0.0010573694808971039,55,98,1990,1993
260,male,Netherland,3787.0,p,0.007921837866385001,0.0014405829394704955,55,98,1990,1993
261,female,Netherland,5987.0,p,0.012026056455653921,0.0014087363970862635,55,98,1990,1993
262,,Netherland,3220.0,p,0.0009316770186335405,0.0005376533427275561,55,64,1990,1993
263,male,Netherland,1418.0,p,0.0007052186177715093,0.0007049699072655301,55,64,1990,1993
264,female,Netherland,1802.0,p,0.0011098779134295226,0.0007843665606518512,55,64,1990,1993
265,,Netherland,3247.0,p,0.004003695719125347,0.0011082002683795316,65,74,1990,1993
266,male,Netherland,1382.0,p,0.0028943560057887122,0.0014450821610952859,65,74,1990,1993
267,female,Netherland,1865.0,p,0.00482573726541555,0.0016046931045920665,65,74,1990,1993
268,,Netherland,2301.0,p,0.023902651021295088,0.003184280319639181,75,84,1990,1993
269,male,Netherland,796.0,p,0.02386934673366834,0.0054102546661858025,75,84,1990,1993
270,female,Netherland,1505.0,p,0.023920265780730896,0.003938740769287553,75,84,1990,1993
271,,Netherland,1006.0,p,0.073558648111332,0.008230511858121896,85,98,1990,1993
272,male,Netherland,191.0,p,0.06806282722513089,0.01822349308980016,85,98,1990,1993
273,female,Netherland,815.0,p,0.07484662576687116,0.009217521883157359,85,98,1990,1993
274,,Netherland,9774.0,p,0.006036423163494987,0.0007834998294177133,55,98,1990,1993
275,male,Netherland,3787.0,p,0.006073409030895168,0.0012625418062072536,55,98,1990,1993
276,female,Netherland,5987.0,p,0.0060130282278269605,0.000999153785885867,55,98,1990,1993
277,,Netherland,3220.0,p,0.0009316770186335405,0.0005376533427275561,55,64,1990,1993
278,male,Netherland,1418.0,p,0.002115655853314528,0.001220181682472075,55,64,1990,1993
279,female,Netherland,1802.0,p,0.0,0.0,55,64,1990,1993
280,,Netherland,3247.0,p,0.004003695719125347,0.0011082002683795316,65,74,1990,1993
281,male,Netherland,1382.0,p,0.005788712011577425,0.00204068651809647,65,74,1990,1993
282,female,Netherland,1865.0,p,0.0021447721179624667,0.0010712354298312416,65,74,1990,1993
283,,Netherland,2301.0,p,0.01303780964797914,0.00236479918187677,75,84,1990,1993
284,male,Netherland,796.0,p,0.011306532663316585,0.003747477373029658,75,84,1990,1993
285,female,Netherland,1505.0,p,0.013953488372093023,0.003023582673301267,75,84,1990,1993
286,,Netherland,1006.0,p,0.036779324055666,0.005934249194017229,85,98,1990,1993
287,male,Netherland,191.0,p,0.026178010471204192,0.011552910886104452,85,98,1990,1993
288,female,Netherland,815.0,p,0.04049079754601227,0.0069043680368193645,85,98,1990,1993
319,,Netherland,9774.0,p,0.0020462451401677922,0.00045708594932462665,55,98,1990,1993
320,male,Netherland,3787.0,p,0.002904673884341167,0.0008745192581754108,55,98,1990,1993
321,female,Netherland,5987.0,p,0.001002171371304493,0.0004089296861306797,55,98,1990,1993
322,,Netherland,3220.0,p,0.008074534161490683,0.0015771402750136285,55,64,1990,1993
323,male,Netherland,1418.0,p,0.00916784203102962,0.0025310195049627546,55,64,1990,1993
324,female,Netherland,1802.0,p,0.006104328523862375,0.0018348981193210946,55,64,1990,1993
325,,Netherland,3247.0,p,0.008007391438250694,0.0015640787061843482,65,74,1990,1993
326,male,Netherland,1382.0,p,0.008683068017366137,0.0024956796746527037,65,74,1990,1993
327,female,Netherland,1865.0,p,0.005898123324396783,0.0017730988709728046,65,74,1990,1993
328,,Netherland,2301.0,p,0.036940460669274235,0.0039320534512750005,75,84,1990,1993
329,male,Netherland,796.0,p,0.035175879396984924,0.006529651820466749,75,84,1990,1993
330,female,Netherland,1505.0,p,0.037873754152823916,0.004920587498294184,75,84,1990,1993
331,,Netherland,1006.0,p,0.110337972166998,0.009878159537584566,85,98,1990,1993
332,male,Netherland,191.0,p,0.09424083769633508,0.021140207863603842,85,98,1990,1993
333,female,Netherland,815.0,p,0.11533742331288345,0.01118909976238258,85,98,1990,1993
334,,Netherland,9774.0,p,0.011049723756906077,0.0010573694808971039,55,98,1990,1993
335,male,Netherland,3787.0,p,0.007921837866385001,0.0014405829394704955,55,98,1990,1993
336,female,Netherland,5987.0,p,0.012026056455653921,0.0014087363970862635,55,98,1990,1993
337,,Netherland,3220.0,p,0.0009316770186335405,0.0005376533427275561,55,64,1990,1993
338,male,Netherland,1418.0,p,0.0007052186177715093,0.0007049699072655301,55,64,1990,1993
339,female,Netherland,1802.0,p,0.0011098779134295226,0.0007843665606518512,55,64,1990,1993
340,,Netherland,3247.0,p,0.004003695719125347,0.0011082002683795316,65,74,1990,1993
341,male,Netherland,1382.0,p,0.0028943560057887122,0.0014450821610952859,65,74,1990,1993
