index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
5105,,GBR,3475.0,p,0.02446043165467626,0.002620457367841404,65,95,2002,2006
5106,,GBR,849.0,p,0.01060070671378092,0.003514789840352968,65,69,2002,2006
5107,,GBR,1069.0,p,0.014967259120673529,0.0037137068532969377,70,74,2002,2006
5108,,GBR,808.0,p,0.02599009900990099,0.00559731788706936,75,79,2002,2006
5109,,GBR,533.0,p,0.03377110694183865,0.007824364131806165,80,84,2002,2006
5110,,GBR,183.0,p,0.09836065573770493,0.022014133207495186,85,89,2002,2006
5111,,GBR,33.0,p,0.09090909090909093,0.05004380750574367,90,95,2002,2006
5112,female,GBR,1939.0,p,0.019597730789066528,0.00314786532095948,65,95,2002,2006
5113,male,GBR,1536.0,p,0.016927083333333332,0.003291458048158335,65,95,2002,2006
5114,,GBR,3475.0,p,0.01841726618705036,0.002280860022907912,65,95,2002,2006
5115,,GBR,849.0,p,0.009422850412249705,0.003315747539545916,65,69,2002,2006
5116,,GBR,1069.0,p,0.0037418147801683813,0.0018674038151181359,70,74,2002,2006
5117,,GBR,808.0,p,0.023514851485148515,0.005330872075479177,75,79,2002,2006
5118,,GBR,533.0,p,0.035647279549718566,0.008030961546361817,80,84,2002,2006
5119,,GBR,183.0,p,0.0546448087431694,0.016801436579970627,85,89,2002,2006
5120,,GBR,33.0,p,0.12121212121212124,0.056814355549157085,90,95,2002,2006
5121,female,GBR,1939.0,p,0.0443527591542032,0.004675415600946534,65,95,2002,2006
5122,male,GBR,1536.0,p,0.041015625,0.005060399738323762,65,95,2002,2006
5123,,GBR,3475.0,p,0.04287769784172662,0.003436545063990919,65,95,2002,2006
5124,,GBR,849.0,p,0.020023557126030624,0.004807558620478989,65,69,2002,2006
5125,,GBR,1069.0,p,0.018709073900841908,0.00414415684699692,70,74,2002,2006
5126,,GBR,808.0,p,0.04950495049504952,0.007631212805030316,75,79,2002,2006
5127,,GBR,533.0,p,0.06941838649155722,0.011009076428372743,80,84,2002,2006
5128,,GBR,183.0,p,0.15300546448087432,0.02661143107844794,85,89,2002,2006
5129,,GBR,33.0,p,0.21212121212121213,0.07116472642790657,90,95,2002,2006
5132,,SVK,2924.0,p,0.09028727770177836,0.0053000104917875,55,95,2013,2013
5133,,SVK,2924.0,p,0.07934336525307797,0.004998221148801216,55,95,2013,2013
5134,,SVK,2924.0,p,0.009917920656634749,0.0018325558974089714,55,95,2013,2013
5136,,JPN,2663.0,p,0.012392039053698836,0.0021437695331849712,50,95,2007,2007
5137,,JPN,2663.0,p,0.0003755163349605708,0.0003754458220813536,50,95,2007,2007
5138,,JPN,2663.0,p,0.012016522718738263,0.0021114396051845376,50,95,2007,2007
5141,male,JPN,1158.0,p,0.02158894645941278,0.004270926722532795,50,95,2007,2007
5142,male,JPN,1158.0,p,0.0008635578583765112,0.0008631849117564932,50,95,2007,2007
5143,male,JPN,1158.0,p,0.02072538860103627,0.004186482778608939,50,95,2007,2007
5146,female,JPN,1505.0,p,0.0053156146179402,0.0018743519560810726,50,95,2007,2007
5147,female,JPN,1505.0,p,0.0,0.0,50,95,2007,2007
5148,female,JPN,1505.0,p,0.0053156146179402,0.0018743519560810726,50,95,2007,2007
5151,,JPN,2663.0,p,0.012392039053698836,0.0021437695331849712,50,95,2007,2007
5152,,JPN,2663.0,p,0.0003755163349605708,0.0003754458220813536,50,95,2007,2007
5153,,JPN,2663.0,p,0.012016522718738263,0.0021114396051845376,50,95,2007,2007
5156,male,JPN,1158.0,p,0.02158894645941278,0.004270926722532795,50,95,2007,2007
5157,male,JPN,1158.0,p,0.0008635578583765112,0.0008631849117564932,50,95,2007,2007
5158,male,JPN,1158.0,p,0.02072538860103627,0.004186482778608939,50,95,2007,2007
5161,female,JPN,1505.0,p,0.0053156146179402,0.0018743519560810726,50,95,2007,2007
5162,female,JPN,1505.0,p,0.0,0.0,50,95,2007,2007
5163,female,JPN,1505.0,p,0.0053156146179402,0.0018743519560810726,50,95,2007,2007
5166,,USA,4172.0,p,0.003355704697986577,0.0008953437589999043,50,95,2010,2013
5168,,USA,4172.0,p,0.003355704697986577,0.0008953437589999043,50,95,2010,2013
5191,,CHN,694.0,p,0.0,0.0,50,59,2015,2015
5192,,CHN,697.0,p,0.00860832137733142,0.0034991735405452843,60,69,2015,2015
5193,,CHN,585.0,p,0.017094017094017096,0.005359201955133677,70,79,2015,2015
5194,,CHN,256.0,p,0.0390625,0.012108981218395749,80,95,2015,2015
5195,,CHN,2232.0,p,0.011648745519713262,0.002271162154108657,50,95,2015,2015
5218,,CHN,694.0,p,0.0,0.0,50,59,2015,2015
5219,,CHN,697.0,p,0.00860832137733142,0.0034991735405452843,60,69,2015,2015
5220,,CHN,585.0,p,0.017094017094017096,0.005359201955133677,70,79,2015,2015
5221,,CHN,256.0,p,0.0390625,0.012108981218395749,80,95,2015,2015
5222,,CHN,2232.0,p,0.011648745519713262,0.002271162154108657,50,95,2015,2015
