index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3635,,ISL,5272,p,0.21301213960546286,0.005638953238330942,66,91,2002,2006
3636,,ISL,530,p,0.10943396226415096,0.013560359137513222,66,69,2002,2006
3637,,ISL,1582,p,0.1302149178255373,0.00846122235960779,70,74,2002,2006
3638,,ISL,1532,p,0.2389033942558747,0.010894358687867155,75,79,2002,2006
3639,,ISL,1192,p,0.2953020134228188,0.013212852647197366,80,84,2002,2006
3640,,ISL,436,p,0.3600917431192661,0.022989111885138552,85,91,2002,2006
3641,,ISL,5272,p,0.05709408194233687,0.003195523582947952,66,91,2002,2006
3642,male,ISL,2260,p,0.052212389380530966,0.004679377453474196,66,91,2002,2006
3643,female,ISL,3012,p,0.0600929614873838,0.0043303876033413576,66,91,2002,2006
3644,,ISL,530,p,0.007547169811320755,0.003759317992934317,66,69,2002,2006
3645,male,ISL,194,p,0.005154639175257732,0.005141336858435796,66,69,2002,2006
3646,female,ISL,336,p,0.008928571428571428,0.005131848513849197,66,69,2002,2006
3647,,ISL,1582,p,0.015170670037926675,0.003073120776594895,70,74,2002,2006
3648,male,ISL,685,p,0.008759124087591242,0.0035602021251587047,70,74,2002,2006
3649,female,ISL,897,p,0.020066889632107024,0.00468211445109047,70,74,2002,2006
3650,,ISL,1532,p,0.04308093994778068,0.005187412748078483,75,79,2002,2006
3651,male,ISL,687,p,0.033478893740902474,0.006862981877757064,75,79,2002,2006
3652,female,ISL,845,p,0.04970414201183432,0.0074764830733702985,75,79,2002,2006
3653,,ISL,1192,p,0.11325503355704696,0.0091788863964568,80,84,2002,2006
3654,male,ISL,502,p,0.10756972111553784,0.013828666759019052,80,84,2002,2006
3655,female,ISL,690,p,0.11739130434782608,0.012253989945387391,80,84,2002,2006
3656,,ISL,436,p,0.19036697247706424,0.01880168035305834,85,91,2002,2006
3657,male,ISL,192,p,0.203125,0.029035290522106457,85,91,2002,2006
3658,female,ISL,244,p,0.1762295081967213,0.024392005932932732,85,91,2002,2006
3659,,ISL,5272,p,0.03300455235204856,0.002460432399823029,66,91,2002,2006
3660,male,ISL,2260,p,0.03008849557522124,0.003593453857162775,66,91,2002,2006
